id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,duel_outcome,duel_type,possession_team_id,team_id,player_id,counterpress,off_camera
77535b47-ff57-4d21-978e-dc2fbcd2cf46,1012,1,00:23:49.510,23,49,Duel,43,Colombia,Regular Play,Argentina,Alexis Mac Allister,Left Defensive Midfield,"[48.0, 29.0]",0.0,True,['1a7f7a55-f1d3-4f2e-aa70-75b3754fabc6'],3943077,,Aerial Lost,769,779,27886,True,
66044aee-005d-417b-a21f-930e1fd6a65e,1089,1,00:24:51.480,24,51,Duel,45,Colombia,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[11.8, 41.1]",0.0,True,['95ea28e2-8fe9-4264-bdf3-f77de2089b25'],3943077,,Aerial Lost,769,779,27768,,
e4ae8a3a-5e40-47ed-adcb-2c7fd03b50ae,1096,1,00:25:31.735,25,31,Duel,46,Argentina,From Goal Kick,Argentina,Ángel Fabián Di María Hernández,Left Midfield,"[102.1, 23.9]",0.0,True,['8c25fe01-391b-4827-a59d-922ba0659fb1'],3943077,,Aerial Lost,779,779,2995,,
e5a730e3-0901-485a-ab5d-cb713c64ef16,1169,1,00:29:06.612,29,6,Duel,48,Argentina,From Free Kick,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[38.5, 76.3]",0.0,True,['5b8994fb-f6d7-4039-91bc-a96bbc582b7c'],3943077,Success Out,Tackle,779,769,5678,,
9b597eca-7746-47b4-a71a-7c47a51536c3,1313,1,00:32:05.447,32,5,Duel,54,Colombia,Regular Play,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[73.2, 2.0]",0.0,True,['a1601d84-4ef2-4364-b198-c36bf60b4a76'],3943077,Success In Play,Tackle,769,769,5678,True,
ec2f4c1e-b205-4465-b491-2392d3d98bac,1318,1,00:32:12.896,32,12,Duel,54,Colombia,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[15.5, 66.2]",0.0,True,['9c54cf09-3954-4d86-a7ae-de464599756e'],3943077,Lost In Play,Tackle,769,779,20572,,
a38d1b29-257b-496b-8d60-cb8bd9e8ceef,1328,1,00:33:15.490,33,15,Duel,55,Colombia,From Corner,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[7.6, 37.6]",0.0,True,['f80a63b3-c4a6-4a9a-bab2-2ebce16edf7d'],3943077,,Aerial Lost,769,779,5507,,
19f6bbaa-8c53-45e3-b599-df71a27438c4,1665,1,00:43:28.268,43,28,Duel,64,Argentina,From Free Kick,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[12.0, 40.8]",0.0,True,['f4ea5b80-1de5-4441-aebd-a55931f7775a'],3943077,,Aerial Lost,779,769,8817,,
ecfc040e-ecde-4266-b9dc-6efc3cf474ab,1767,1,00:45:46.188,45,46,Duel,69,Colombia,Regular Play,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[80.1, 53.9]",0.0,True,['45ee4630-7514-4bc3-af85-5bd6a6618b82'],3943077,,Aerial Lost,769,769,27158,,
4ce8f2d3-36be-4dbb-a24d-f7cd2e04c14f,1804,2,00:00:42.428,45,42,Duel,72,Argentina,From Keeper,Argentina,Julián Álvarez,Left Center Forward,"[56.9, 33.9]",0.0,True,['b3f821e5-d850-4de7-bd91-cd8915973eb0'],3943077,,Aerial Lost,779,779,29560,,
0317b82a-814f-42e4-9e83-8a358b8f7f16,1847,2,00:01:19.112,46,19,Duel,73,Colombia,Regular Play,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[69.3, 4.9]",0.0,True,['99c9f997-d994-4bd4-a99e-6c0005a26b67'],3943077,,Aerial Lost,769,769,27277,,
ac0e7627-6e1f-4c70-9871-f16989784823,1942,2,00:03:07.661,48,7,Duel,75,Argentina,From Goal Kick,Colombia,Richard Rios Montoya,Right Center Midfield,"[19.8, 66.7]",0.0,True,['39dcd822-c897-4625-9d84-50fb3f7cc74a'],3943077,Won,Tackle,779,769,49395,,
9b040dee-98b9-4e05-bffb-bdd9131ee84a,1946,2,00:03:16.576,48,16,Duel,75,Argentina,From Goal Kick,Argentina,Enzo Fernandez,Right Defensive Midfield,"[54.2, 3.2]",0.0,True,['fdbbba0e-61f8-406d-badd-42933b315685'],3943077,Success Out,Tackle,779,779,38718,,
7416fd59-9dce-4cbd-a22c-75cc5b2d0590,1990,2,00:04:53.462,49,53,Duel,77,Colombia,From Throw In,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[58.8, 5.1]",0.0,True,['ef5c42fc-ff48-4568-b09a-38dfa7a7269e'],3943077,,Aerial Lost,769,769,27158,,
8f91f78e-6633-4b85-8147-857937efeeb1,2006,2,00:05:36.643,50,36,Duel,78,Colombia,From Throw In,Colombia,Santiago Arias Naranjo,Right Back,"[63.0, 77.1]",0.0,True,['a3335ec8-83ab-4edd-95d5-0ec202190cd1'],3943077,,Aerial Lost,769,769,5696,,
160aaf32-dc4b-42af-8ba2-3c91e011479d,2055,2,00:07:22.000,52,22,Duel,84,Argentina,From Keeper,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[49.3, 56.1]",0.0,True,['2ff69783-368f-4fd1-a125-c17defd8c6f6'],3943077,Lost In Play,Tackle,779,769,27158,,
59f54abe-fad3-4c45-a918-5ee6dd3ed3c7,2112,2,00:08:42.675,53,42,Duel,86,Colombia,From Corner,Argentina,Alexis Mac Allister,Left Defensive Midfield,"[5.3, 36.0]",0.0,True,['a431db47-7da0-4eb2-a0be-6066fc40913b'],3943077,,Aerial Lost,769,779,27886,,
1235b4b0-531a-40a0-b816-37fad3c5787f,2157,2,00:10:43.867,55,43,Duel,88,Argentina,From Free Kick,Argentina,Rodrigo Javier De Paul,Right Midfield,"[33.1, 76.3]",0.0,True,['65c9f744-4b02-4e44-b70f-d6b034a51a0b'],3943077,Success In Play,Tackle,779,779,7797,True,
12936444-c23f-421b-ac34-a964f9d48c53,2261,2,00:15:10.479,60,10,Duel,93,Argentina,From Free Kick,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[68.8, 5.4]",0.0,True,['d1e31347-06bd-41d3-8826-bba9e892231f'],3943077,,Aerial Lost,779,769,27158,,
a88a6eae-dd64-4dd9-8d4f-e8159d01aecd,2291,2,00:15:36.440,60,36,Duel,94,Colombia,Regular Play,Argentina,Rodrigo Javier De Paul,Right Midfield,"[24.8, 35.0]",0.0,True,['5ca95d11-37ec-4399-bc0d-cf62c99adb49'],3943077,Success In Play,Tackle,769,779,7797,,
089f7987-7a62-4659-b565-75f666bafc30,2299,2,00:15:42.694,60,42,Duel,94,Colombia,Regular Play,Colombia,Davinson Sánchez Mina,Right Center Back,"[62.4, 76.5]",0.0,True,['f35a5ca4-4814-4e14-b75a-e553b4d85181'],3943077,Won,Tackle,769,769,3494,True,
63c5dfea-66b5-478f-ac2a-ca8b62cc8f0a,2345,2,00:17:49.566,62,49,Duel,98,Colombia,Regular Play,Argentina,Enzo Fernandez,Right Defensive Midfield,"[40.7, 53.8]",0.0,True,['ec7ac04a-da40-4763-ac57-1b2969e7bdb9'],3943077,Lost In Play,Tackle,769,779,38718,True,
6fd08804-9556-4790-bb7a-6ff20cbe5440,2439,2,00:22:47.756,67,47,Duel,104,Argentina,Regular Play,Argentina,Nicolás Iván González,Left Midfield,"[36.8, 12.5]",0.0,True,['1bdcb5d2-9b60-4c3e-a9b1-3f4a3d7ef27f'],3943077,Won,Tackle,779,779,20687,True,
54581989-9e5a-437d-bcd5-4a4277929019,2506,2,00:23:49.224,68,49,Duel,106,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Center Midfield,"[22.5, 66.1]",0.0,True,['196aaf24-cb3a-42ac-a244-2100b70a1c3c'],3943077,Success In Play,Tackle,779,779,7797,True,
7013cb88-267e-465c-8784-074be13d54af,2561,2,00:28:57.536,73,57,Duel,109,Argentina,From Free Kick,Colombia,Richard Rios Montoya,Right Center Midfield,"[35.1, 74.9]",0.0,True,['c775f02f-40be-41e4-b92a-f8bacc2974a4'],3943077,,Aerial Lost,779,769,49395,,
17dec222-2022-4e80-9d4c-8136358aedab,2596,2,00:29:32.560,74,32,Duel,111,Argentina,Regular Play,Argentina,Nicolás Iván González,Left Midfield,"[87.4, 20.5]",0.0,True,['7a9dbe56-c8aa-45ac-8b3a-4b4de8211bd9'],3943077,,Aerial Lost,779,779,20687,,
ccd66e44-1dc3-4081-8698-5b7f97718278,2616,2,00:31:02.496,76,2,Duel,112,Colombia,From Free Kick,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[97.8, 77.6]",0.0,True,['b999b34e-ed4a-4bbb-a197-b24b42c2f540'],3943077,,Aerial Lost,769,769,8817,,
8bf92094-724a-4614-a302-4e924af520ce,2692,2,00:33:18.538,78,18,Duel,117,Colombia,From Free Kick,Argentina,Cristian Gabriel Romero,Right Center Back,"[10.5, 38.6]",0.0,True,['9b52e5c5-5688-4b04-9e0b-3786cf84aea9'],3943077,,Aerial Lost,769,779,20572,,
a5595454-84f5-4bd7-9202-bcd84e5dc795,2716,2,00:34:13.876,79,13,Duel,119,Colombia,Regular Play,Colombia,Davinson Sánchez Mina,Right Center Back,"[9.3, 54.8]",0.0,True,['6286d830-a068-4d04-8f2a-72179dd677a1'],3943077,Success In Play,Tackle,769,769,3494,True,
321b20b5-ad85-4c29-8c17-a629ff323b3b,2802,2,00:37:37.650,82,37,Duel,122,Argentina,From Free Kick,Colombia,Davinson Sánchez Mina,Right Center Back,"[28.0, 32.7]",0.0,True,['b17abe22-8e7d-42a6-981a-7938e0f97322'],3943077,,Aerial Lost,779,769,3494,,
5f66c16a-5472-43d5-b768-1317051ad669,2816,2,00:38:18.690,83,18,Duel,124,Argentina,From Throw In,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[46.6, 21.4]",0.0,True,['56375f14-26aa-4a4d-a6ce-7503fc9358fc'],3943077,,Aerial Lost,779,769,27158,,
20444bca-6254-4794-9952-7993b799c003,2828,2,00:38:30.165,83,30,Duel,125,Colombia,Regular Play,Colombia,Richard Rios Montoya,Right Center Midfield,"[38.8, 76.9]",0.0,True,['1d83d556-957b-4209-a24a-7153db6b18f4'],3943077,Won,Tackle,769,769,49395,True,
2ef778ce-7fd9-4f53-ad33-f73ca003f94a,2844,2,00:39:27.744,84,27,Duel,126,Argentina,From Free Kick,Colombia,Davinson Sánchez Mina,Right Center Back,"[33.7, 48.1]",0.0,True,['11e81fcc-f02d-47d1-bf88-4121ff24b3ed'],3943077,,Aerial Lost,779,769,3494,,
51a2bf15-b4e2-416d-8a28-ed654aa85c59,2934,2,00:42:23.597,87,23,Duel,131,Argentina,Regular Play,Colombia,Santiago Arias Naranjo,Right Back,"[2.9, 51.4]",0.0,True,['ae1c314f-d7d5-4000-a0cc-2723a17545ca'],3943077,,Aerial Lost,779,769,5696,,
cd1f3575-5924-42fe-97a8-9c2d46d7195e,2990,2,00:45:19.114,90,19,Duel,134,Colombia,From Throw In,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[14.0, 28.5]",0.0,True,['26b1c943-309a-4625-a221-4614c2bd1a10'],3943077,Success In Play,Tackle,769,769,28567,True,
868f495a-f65c-41ac-b43d-ad524e3c31f9,3038,2,00:46:19.929,91,19,Duel,137,Argentina,From Throw In,Colombia,Santiago Arias Naranjo,Right Back,"[13.1, 68.5]",0.0,True,['5ae84706-8489-482b-ab39-4f958b24259c'],3943077,,Aerial Lost,779,769,5696,,
6b701595-8df0-45f0-881d-6cb4b5f7f52d,3052,2,00:47:46.139,92,46,Duel,139,Colombia,From Goal Kick,Colombia,Kevin Duvan Castaño Gil,Right Center Midfield,"[81.4, 38.3]",0.0,True,['3dc2d356-e0a8-4534-9e22-3d30a1691171'],3943077,,Aerial Lost,769,769,60138,,
86b0403c-ea62-4c90-842b-33d14924f6b3,3060,2,00:47:52.095,92,52,Duel,140,Argentina,Regular Play,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[88.9, 32.2]",0.0,True,['c6e6d1dd-d977-4b92-87b7-9dc1ea02ad8e'],3943077,,Aerial Lost,779,769,27158,True,
dca3c4aa-fe12-43cd-8686-1d7ec8dad6ff,3158,3,00:01:14.092,91,14,Duel,144,Colombia,From Goal Kick,Colombia,Kevin Duvan Castaño Gil,Right Center Midfield,"[74.7, 44.0]",0.0,True,['79e3addb-1715-4d7f-b8e2-3e85b6e143e9'],3943077,,Aerial Lost,769,769,60138,,
00d7c35a-6f80-46e0-8823-e71a2b78be2f,3166,3,00:01:21.228,91,21,Duel,144,Colombia,From Goal Kick,Colombia,Rafael Santos Borré Amaury,Right Center Forward,"[79.3, 31.2]",0.0,True,['df4929ac-2ed2-4527-a960-e12c90daf4a6'],3943077,,Aerial Lost,769,769,28266,,
ea02168d-f714-4b12-aa78-6ed71cd289d7,3196,3,00:02:07.553,92,7,Duel,149,Colombia,Regular Play,Colombia,Rafael Santos Borré Amaury,Right Center Forward,"[93.2, 4.0]",0.0,True,['84abaa7f-b0d9-4be1-a002-fd7e64a8a606'],3943077,Success In Play,Tackle,769,769,28266,True,
d99c31aa-c7bb-43b1-9831-7cc2f1cbe7f3,3201,3,00:02:09.756,92,9,Duel,149,Colombia,Regular Play,Argentina,Nahuel Molina Lucero,Right Back,"[32.2, 76.8]",0.0,True,['210f84fe-54b7-4967-9962-ef84fdf4a382'],3943077,Lost Out,Tackle,769,779,29201,True,
99197e30-8aa7-45f2-9027-dd0499449b9f,3360,3,00:06:55.112,96,55,Duel,158,Colombia,Regular Play,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[70.7, 31.0]",0.0,True,['8628ec28-bfcb-4962-9ecb-8b40f7e3211b'],3943077,Success In Play,Tackle,769,769,5678,True,
9412449a-9f5c-4554-9d62-f68c4ffa0502,3381,3,00:07:48.951,97,48,Duel,160,Argentina,From Free Kick,Colombia,Johan Andrés Mojica Palacio,Left Back,"[7.8, 27.1]",0.0,True,['1f4a7051-1ebc-4e6d-be7c-045af024ee4b'],3943077,,Aerial Lost,779,769,5691,,
8c907a53-f84d-49ec-bce0-12bdceac07bd,3405,3,00:09:20.551,99,20,Duel,162,Argentina,From Free Kick,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[44.7, 55.9]",0.0,True,['e028f03e-8e7b-4bbe-9539-b0dda0ee04b1'],3943077,Lost In Play,Tackle,779,769,5678,,
50f82a6c-794b-4dbe-b22f-6bf950722672,3424,3,00:09:36.047,99,36,Duel,162,Argentina,From Free Kick,Colombia,Santiago Arias Naranjo,Right Back,"[1.5, 48.6]",0.0,True,['8f1b3330-e6e3-4288-9944-3206812bdf17'],3943077,,Aerial Lost,779,769,5696,,
d84f23e1-c5ab-4eb1-80e3-ac7d85810d30,3520,3,00:12:48.757,102,48,Duel,171,Colombia,Regular Play,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[19.9, 35.3]",0.0,True,['b4fc9907-e9b3-43d7-9a34-a0e5632dd688'],3943077,Won,Tackle,769,769,28567,True,
9e21f34a-4165-40dd-934c-5ef87f430167,3554,3,00:13:28.700,103,28,Duel,172,Colombia,From Free Kick,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[115.7, 50.2]",0.0,True,['121af2b9-b4ee-4431-b89b-97a1a4113b15'],3943077,,Aerial Lost,769,769,27158,,
e7e18d38-2265-4b95-807d-1733d487a2d0,3568,3,00:14:13.497,104,13,Duel,175,Colombia,Regular Play,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[31.4, 28.9]",0.0,True,['d55f292e-0207-4648-bab8-60ad900643cb'],3943077,Won,Tackle,769,769,5678,,
1bda2f17-e340-4758-9b89-e43dea957154,3584,3,00:14:28.569,104,28,Duel,175,Colombia,Regular Play,Argentina,Leandro Daniel Paredes,Center Defensive Midfield,"[20.5, 38.3]",0.0,True,['aa074544-cc44-4c67-98f9-dedbb11a4911'],3943077,Lost In Play,Tackle,769,779,16308,,
c667db92-5a31-4414-8d09-a9ba7188e42c,3589,3,00:14:29.946,104,29,Duel,176,Argentina,Regular Play,Argentina,Leandro Daniel Paredes,Center Defensive Midfield,"[23.6, 44.6]",0.0,True,['3913d4f5-83a2-4615-92d6-5ceba7c918cc'],3943077,Success In Play,Tackle,779,779,16308,True,
efdb1792-048f-499e-a386-aa45b7963f66,3600,3,00:14:42.943,104,42,Duel,177,Colombia,Regular Play,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[44.0, 31.2]",0.0,True,['74e5d4a7-9951-4b7d-807f-49b3b2a0e634'],3943077,Won,Tackle,769,769,28567,True,
f0b2808d-4343-48c7-9e56-71e2c8c2a373,3656,3,00:15:34.879,105,34,Duel,180,Colombia,Regular Play,Colombia,Santiago Arias Naranjo,Right Back,"[46.0, 52.8]",0.0,True,['586bb489-edf1-45d1-ab6f-f8df954ab864'],3943077,Success In Play,Tackle,769,769,5696,True,
3d1b4afa-492f-491c-9c64-b78e73752c56,3674,3,00:15:45.414,105,45,Duel,180,Colombia,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[15.7, 37.0]",0.0,True,['82f905c8-c29d-4922-8e2b-e8040122e30d'],3943077,Success In Play,Tackle,769,779,20572,,
9c7635fa-b73c-46dc-9b01-a08031e9720c,3749,4,00:02:48.215,107,48,Duel,185,Colombia,From Goal Kick,Colombia,Kevin Duvan Castaño Gil,Right Center Midfield,"[80.7, 50.7]",0.0,True,['45869bc3-01cd-443d-9697-b3c5f2e92e35'],3943077,,Aerial Lost,769,769,60138,,
edfcf5cb-b6f6-48f5-8d03-77128ff15c83,3804,4,00:05:03.806,110,3,Duel,189,Colombia,From Corner,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[10.1, 16.8]",0.0,True,['097a3a25-4837-4a82-9377-5fb4e11ecfa8'],3943077,Lost Out,Tackle,769,779,2995,,
8c64a6a1-6bfd-4974-b9ff-2ef9028ba081,3819,4,00:05:33.671,110,33,Duel,190,Colombia,From Throw In,Argentina,Nahuel Molina Lucero,Right Back,"[30.2, 73.7]",0.0,True,['9fda4c51-65f8-4e21-8348-395ba425a1f7'],3943077,Success In Play,Tackle,769,779,29201,,
e324be00-f012-4ad4-b91e-adb805146305,3827,4,00:05:42.841,110,42,Duel,190,Colombia,From Throw In,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[11.6, 2.2]",0.0,True,['4910c04b-8752-4075-bf78-2c9efb93b95b'],3943077,Won,Tackle,769,769,28567,True,
010c9c2a-3739-4173-b3e4-d8c9b27f3a9b,3853,4,00:06:03.054,111,3,Duel,191,Argentina,Regular Play,Argentina,Leandro Daniel Paredes,Center Defensive Midfield,"[56.8, 58.3]",0.0,True,['ab731540-adcf-4bb1-b5dc-f8c19b7a40cb'],3943077,Won,Tackle,779,779,16308,True,
482d7130-2c3b-44e8-a4f8-51b9c2f90808,3924,4,00:12:21.291,117,21,Duel,195,Colombia,Regular Play,Argentina,Nahuel Molina Lucero,Right Wing Back,"[73.3, 48.6]",0.0,True,['9487fdca-9b64-4514-8173-1198c02262de'],3943077,,Aerial Lost,769,779,29201,True,
032fda38-8425-4559-abc3-64894fe4269b,4003,4,00:14:25.551,119,25,Duel,199,Colombia,From Throw In,Argentina,Leandro Daniel Paredes,Right Defensive Midfield,"[38.1, 65.2]",0.0,True,['08963231-c380-4b0b-8523-4a6773308d72'],3943077,Lost In Play,Tackle,769,779,16308,,
fd2450dd-8135-422c-8685-e7938f74cdd2,4013,4,00:15:16.632,120,16,Duel,200,Argentina,From Goal Kick,Argentina,Nicolás Iván González,Left Wing,"[82.1, 18.1]",0.0,True,['828166ce-d8e1-4212-84ee-15f9ed0121ac'],3943077,,Aerial Lost,779,779,20687,,
065d39cb-f830-4fa7-8365-13a683612473,4021,4,00:15:20.955,120,20,Duel,201,Colombia,Regular Play,Colombia,Andrés Mateus Uribe Villa,Center Defensive Midfield,"[11.4, 45.9]",0.0,True,['4f14a8e1-a714-49fc-9f25-a0b5aac7207a'],3943077,Success In Play,Tackle,769,769,6193,True,
2e7ffeaf-675c-4c12-a869-230b634072a4,4063,4,00:16:12.103,121,12,Duel,203,Colombia,Regular Play,Colombia,Miguel Ángel Borja Hernández,Left Center Forward,"[106.6, 26.1]",0.0,True,['6fc75824-e4a6-4131-a014-bb5212947856'],3943077,,Aerial Lost,769,769,6333,,
1edf34cd-3ba4-43b2-be99-04e67ee444d7,4093,4,00:16:46.092,121,46,Duel,203,Colombia,Regular Play,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[113.3, 36.4]",0.0,True,['61bcfb30-f117-4bc5-86f8-1523c62b9a3d'],3943077,,Aerial Lost,769,769,28567,,
125106b5-563d-4158-9ba1-5c6066a0143f,4096,4,00:16:46.196,121,46,Duel,203,Colombia,Regular Play,Argentina,Nicolás Hernán Otamendi,Center Back,"[6.3, 43.4]",0.0,True,['a0580816-6319-4fd2-a3c3-c563e7847195'],3943077,,Aerial Lost,769,779,3090,,
d9c708ec-32f2-40d1-8df1-450c13716b21,57,1,00:00:42.521,0,42,Duel,3,Uruguay,Regular Play,Uruguay,Maximiliano Javier Araújo Vilches,Left Wing,"[56.4, 14.1]",0.0,True,['766ce1f2-fbbf-4bff-9ba1-3096751f6f73'],3943076,,Aerial Lost,783,783,35492,,
2fb48f65-186f-41d1-bfbf-2f84bf18cfe9,94,1,00:01:19.818,1,19,Duel,6,Uruguay,Regular Play,Canada,Tanitoluwa Oluwaseyi,Center Forward,"[105.8, 75.1]",0.0,True,['c1f7f503-2750-48dc-89cd-ff98f356ff2a'],3943076,Won,Tackle,783,1833,224603,,
941132a9-4b2c-43aa-ac52-f3fe59b54c69,108,1,00:02:57.349,2,57,Duel,9,Uruguay,From Throw In,Canada,Richie Laryea,Left Back,"[78.1, 9.7]",0.0,True,['48cbd4f5-5457-48cb-a4eb-65cfe215c1ea'],3943076,Lost In Play,Tackle,783,1833,16120,,
63d38eff-44c0-49bc-b25c-c1182df98ddf,112,1,00:02:58.345,2,58,Duel,9,Uruguay,From Throw In,Canada,Richie Laryea,Left Back,"[76.5, 13.2]",0.0,True,['36736892-3ce6-472a-b922-51cd82e26f15'],3943076,Lost In Play,Tackle,783,1833,16120,,
0f58ba92-7a50-4204-8981-2589997a1c50,120,1,00:03:03.633,3,3,Duel,10,Canada,Regular Play,Uruguay,Nahitan Michel Nández Acosta,Right Back,"[2.7, 63.6]",0.0,True,['9ef21e29-a44e-44a2-9e67-dfbad75ff10d'],3943076,Lost Out,Tackle,1833,783,5247,True,
fbf4859d-3e43-4bce-ba1b-e0087a3243d5,153,1,00:05:04.910,5,4,Duel,13,Canada,From Throw In,Canada,Tanitoluwa Oluwaseyi,Center Forward,"[56.0, 6.9]",0.0,True,['6fbf0653-c2ba-422e-9c1e-90cd2ba6dade'],3943076,,Aerial Lost,1833,1833,224603,,
36d15740-16d2-41e0-af3d-e9582e32ef03,185,1,00:05:19.265,5,19,Duel,15,Canada,Regular Play,Uruguay,Matías Nicolás Viña Susperreguy,Left Back,"[63.2, 11.1]",0.0,True,['275400f1-5c35-44a4-a1c8-0abd4d79fa80'],3943076,Lost In Play,Tackle,1833,783,34476,True,
