match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3939984,2024-06-29,01:00:00.000,South America - Copa America,2024,Colombia,Costa Rica,3,0,available,unscheduled,2024-07-12T20:46:40.990417,,2,Group Stage,State Farm Stadium,Gustavo Tejera,Néstor Gabriel Lorenzo,Gustavo Julio Alfaro,1.1.0,2,2
3939981,2024-06-28,01:00:00.000,South America - Copa America,2024,Panama,United States,2,1,available,unscheduled,2024-07-12T04:49:34.884245,,2,Group Stage,Mercedes-Benz Stadium,Ivan Arcides Barton Cisneros,Thomas Christiansen Tarín,Gregg Berhalter,1.1.0,2,2
3939992,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2,2
3939991,2024-07-03,04:00:00.000,South America - Copa America,2024,Brazil,Colombia,1,1,available,unscheduled,2024-07-13T19:25:51.805879,,3,Group Stage,Levi''s Stadium,Jesús Valenzuela Sáez,Dorival Silvestre Júnior,Néstor Gabriel Lorenzo,1.1.0,2,2
3939990,2024-07-02,04:00:00.000,South America - Copa America,2024,United States,Uruguay,0,1,available,unscheduled,2024-07-10T06:45:26.112966,,3,Group Stage,Arrowhead Stadium,Kevin Ortega,Gregg Berhalter,Marcelo Alberto Bielsa Caldera,1.1.0,2,2
3939989,2024-07-02,04:00:00.000,South America - Copa America,2024,Bolivia,Panama,1,3,available,unscheduled,2024-07-10T17:45:43.087460,,3,Group Stage,Orlando City Stadium,Edina Alves Batista,Antônio Carlos Zago,Thomas Christiansen Tarín,1.1.0,2,2
3939988,2024-07-01,03:00:00.000,South America - Copa America,2024,Mexico,Ecuador,0,0,available,unscheduled,2024-07-10T06:43:35.826860,,3,Group Stage,State Farm Stadium,Mario Alberto Escobar Toca,Jaime Arturo Lozano Espín,Félix Sánchez Bas,1.1.0,2,2
3939987,2024-07-01,03:00:00.000,South America - Copa America,2024,Jamaica,Venezuela,0,3,available,unscheduled,2024-07-11T17:56:50.225876,,3,Group Stage,Q2 Stadium,Maurizio Mariani,Heimir Hallgrímsson,Fernando Ariel Batista,1.1.0,2,2
3939983,2024-06-29,04:00:00.000,South America - Copa America,2024,Paraguay,Brazil,1,4,available,unscheduled,2024-07-09T14:25:25.481224,,2,Group Stage,Allegiant Stadium,Piero Maza Gomez,Daniel Oscar Garnero,Dorival Silvestre Júnior,1.1.0,2,2
3939982,2024-06-28,04:00:00.000,South America - Copa America,2024,Uruguay,Bolivia,5,0,available,unscheduled,2024-07-09T15:14:11.551053,,2,Group Stage,MetLife Stadium,Juan Gabriel Benítez,Marcelo Alberto Bielsa Caldera,Antônio Carlos Zago,1.1.0,2,2
3939980,2024-06-27,01:00:00.000,South America - Copa America,2024,Ecuador,Jamaica,3,1,available,unscheduled,2024-07-11T11:05:28.290817,,2,Group Stage,Allegiant Stadium,Cristián Garay,Félix Sánchez Bas,Heimir Hallgrímsson,1.1.0,2,2
3939979,2024-06-27,04:00:00.000,South America - Copa America,2024,Venezuela,Mexico,1,0,available,unscheduled,2024-07-12T04:01:01.848254,,2,Group Stage,SoFi Stadium,Raphael Claus,Fernando Ariel Batista,Jaime Arturo Lozano Espín,1.1.0,2,2
3939978,2024-06-26,01:00:00.000,South America - Copa America,2024,Peru,Canada,0,1,available,unscheduled,2024-07-13T01:00:38.664914,,2,Group Stage,Children''s Mercy Park,Mario Alberto Escobar Toca,Jorge Daniel Fossati Lurachi,Jesse Marsch,1.1.0,2,2
3939977,2024-06-26,04:00:00.000,South America - Copa America,2024,Chile,Argentina,0,1,available,unscheduled,2024-07-10T18:09:05.408477,,2,Group Stage,MetLife Stadium,Andrés Matonte,Ricardo Alberto Gareca Nardi,Lionel Sebastián Scaloni,1.1.0,2,2
3939976,2024-06-25,04:00:00.000,South America - Copa America,2024,Brazil,Costa Rica,0,0,available,unscheduled,2024-07-11T11:53:53.844903,,1,Group Stage,SoFi Stadium,César Arturo Ramos Palazuelos,Dorival Silvestre Júnior,Gustavo Julio Alfaro,1.1.0,2,2
3939975,2024-06-25,01:00:00.000,South America - Copa America,2024,Colombia,Paraguay,2,1,available,unscheduled,2024-07-14T17:04:40.597924,,1,Group Stage,NRG Stadium,Darío Herrera,Néstor Gabriel Lorenzo,Daniel Oscar Garnero,1.1.0,2,2
3939974,2024-06-24,01:00:00.000,South America - Copa America,2024,United States,Bolivia,2,0,available,unscheduled,2024-07-10T13:06:41.582507,,1,Group Stage,AT&T Stadium,Maurizio Mariani,Gregg Berhalter,Antônio Carlos Zago,1.1.0,2,2
3939972,2024-06-23,01:00:00.000,South America - Copa America,2024,Ecuador,Venezuela,1,2,available,unscheduled,2024-07-12T21:31:59.102963,,1,Group Stage,Levi''s Stadium,Wilmar Alexander Roldán Pérez,Félix Sánchez Bas,Fernando Ariel Batista,1.1.0,2,2
3939971,2024-06-23,04:00:00.000,South America - Copa America,2024,Mexico,Jamaica,1,0,available,unscheduled,2024-07-12T19:15:02.637961,,1,Group Stage,NRG Stadium,Ismail Elfath,Jaime Arturo Lozano Espín,Heimir Hallgrímsson,1.1.0,2,2
3939970,2024-06-22,03:00:00.000,South America - Copa America,2024,Peru,Chile,0,0,available,unscheduled,2024-07-07T15:51:25.411244,,1,Group Stage,AT&T Stadium,Wilton Pereira Sampaio,Jorge Daniel Fossati Lurachi,Ricardo Alberto Gareca Nardi,1.1.0,2,2
3939969,2024-06-21,03:00:00.000,South America - Copa America,2024,Argentina,Canada,2,0,available,unscheduled,2024-07-09T10:26:47.528559,,1,Group Stage,Mercedes-Benz Stadium,Jesús Valenzuela Sáez,Lionel Sebastián Scaloni,Jesse Marsch,1.1.0,2,2
